material_id,formula_pretty,chemsys_query,host_id,mix_site,label,is_stable,energy_above_hull,classical_t,wtf,sigma_A,sigma_B,delta_q,r_A_eff,r_B_eff,q_A_eff,q_B_eff,A_elements,A_amounts,B_elements,B_amounts,normalized_composition
mp-1228091,Ba4CaTi5O15,Ba-Ca-O-Ti,Ba-Ca-O-Ti,A,1,False,0.028055349899998,1.0615418510581087,1.0424975786470996,0.108,0.0,0.0,1.5560000000000005,0.605,2.0,4.0,"[""Ba"", ""Ca""]","[0.8, 0.2]","[""Ti""]",[1.0],"{""Ba"": 0.8, ""Ca"": 0.2, ""Ti"": 1.0, ""O"": 3.0}"
mp-1228072,Ba4CaZr5O15,Ba-Ca-O-Zr,Ba-Ca-O-Zr,A,1,False,0.040965421300004,1.0039582129110884,0.985947002446903,0.108,0.0,0.0,1.5560000000000005,0.72,2.0,4.0,"[""Ba"", ""Ca""]","[0.8, 0.2]","[""Zr""]",[1.0],"{""Ba"": 0.8, ""Ca"": 0.2, ""Zr"": 1.0, ""O"": 3.0}"
mp-1228100,Ba4CaZr5O15,Ba-Ca-O-Zr,Ba-Ca-O-Zr,A,1,False,0.044701174900003,1.0039582129110884,0.985947002446903,0.108,0.0,0.0,1.5560000000000005,0.72,2.0,4.0,"[""Ba"", ""Ca""]","[0.8, 0.2]","[""Zr""]",[1.0],"{""Ba"": 0.8, ""Ca"": 0.2, ""Zr"": 1.0, ""O"": 3.0}"
mp-1228173,Ba4CaZr5O15,Ba-Ca-O-Zr,Ba-Ca-O-Zr,A,1,False,0.039291286900004,1.0039582129110884,0.985947002446903,0.108,0.0,0.0,1.5560000000000005,0.72,2.0,4.0,"[""Ba"", ""Ca""]","[0.8, 0.2]","[""Zr""]",[1.0],"{""Ba"": 0.8, ""Ca"": 0.2, ""Zr"": 1.0, ""O"": 3.0}"
mp-1523158,BaCaZr2O6,Ba-Ca-O-Zr,Ba-Ca-O-Zr,A,1,False,0.039226533250003,1.0039582129110884,0.9589301867506244,0.135,0.0,0.0,1.475,0.72,2.0,4.0,"[""Ba"", ""Ca""]","[0.5, 0.5]","[""Zr""]",[1.0],"{""Ba"": 0.5, ""Ca"": 0.5, ""Zr"": 1.0, ""O"": 3.0}"
mp-1523234,BaCaZr2O6,Ba-Ca-O-Zr,Ba-Ca-O-Zr,A,0,False,0.096283804250004,1.0039582129110884,0.9589301867506244,0.135,0.0,0.0,1.475,0.72,2.0,4.0,"[""Ba"", ""Ca""]","[0.5, 0.5]","[""Zr""]",[1.0],"{""Ba"": 0.5, ""Ca"": 0.5, ""Zr"": 1.0, ""O"": 3.0}"
mp-1224039,K4BaNb5O15,Ba-K-Nb-O,Ba-K-Nb-O,A,1,True,0.0,1.0537277523564237,1.0516480265294044,0.0119999999999999,0.0,0.2000000000000001,1.634,0.64,1.2000000000000002,5.0,"[""Ba"", ""K""]","[0.2, 0.8]","[""Nb""]",[1.0],"{""K"": 0.8, ""Ba"": 0.2, ""Nb"": 1.0, ""O"": 3.0}"
mp-1223493,KBa2Nb3O9,Ba-K-Nb-O,Ba-K-Nb-O,A,1,True,0.0,1.043329123221327,1.046795332933026,0.0141421356237308,0.0,0.6666666666666661,1.62,0.64,1.6666666666666663,5.0,"[""Ba"", ""K""]","[0.6666666666666666, 0.3333333333333333]","[""Nb""]",[1.0],"{""K"": 0.3333333333333333, ""Ba"": 0.6666666666666666, ""Nb"": 1.0, ""O"": 3.0}"
mp-1228521,Ba2La(FeO3)3,Ba-Fe-La-O,Ba-Fe-La-O,A,1,False,0.00893532222223,1.0407781962696858,1.0119637390086205,0.1178511301977579,0.0,0.666666666666667,1.5266666666666666,0.645,2.333333333333333,3.0,"[""Ba"", ""La""]","[0.6666666666666666, 0.3333333333333333]","[""Fe""]",[1.0],"{""Ba"": 0.6666666666666666, ""La"": 0.3333333333333333, ""Fe"": 1.0, ""O"": 3.0}"
mp-1227910,BaLa(FeO3)2,Ba-Fe-La-O,Ba-Fe-La-O,A,1,False,0.042231816666665,1.0407781962696858,0.9975565103780876,0.125,0.0,0.5,1.485,0.645,2.5,3.0,"[""Ba"", ""La""]","[0.5, 0.5]","[""Fe""]",[1.0],"{""Ba"": 0.5, ""La"": 0.5, ""Fe"": 1.0, ""O"": 3.0}"
